FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1019056,37.1 Hunterdon Land Trust Farmers Market,http://www.hunterdonlandtrust.org,https://www.facebook.com/HunterdonLandTrust,,,,111 Mine Street,Flemington,Hunterdon,New Jersey,08822,05/20/2018 to 11/18/2018,Sun: 9:00 AM-1:00 PM;,12/09/2018 to 05/05/2019,Sun: 11:00 AM-1:00 PM;,,,,,-74.8712780,40.5056638,,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,4/15/2018 11:33:22 AM
1019640,46.5 Northampton Pa Farmers Market,,Northampton Pa Farmers Market,,,,1401 Laubach Avenue Municipal Park,Northampton ,Northampton,Pennsylvania,18067,05/14/2019 to 09/17/2019,Tue: 3:00 AM-6:30 PM;,,,,,,,-75.489035,40.684278,,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,7/24/2019 2:53:53 PM
1019146,49.8 Bridgewater Farmer's Market,,https://www.facebook.com/BridgewaterFarmersMarketNJ/,,,,1 Vogt Drive,Bridgewater,Somerset,New Jersey,08807,06/10/2018 to 10/21/2018,Sun: 11:00 AM-3:00 PM;,,,,,,,-74.607976,40.588552,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,6/26/2018 7:01:21 PM
1019400,52.6 Bedminster Farmers Market,http://bedminsternj.hosted.civiclive.com/township_services/farmers_market,https://www.facebook.com/bedminsterfarmersmarket/?eid=ARArXvXuUVPdjTMbOd_12-gC2WKj6BpLHpqkVXPEOpscqeAh6w0Zv07etCwMUUqqHWLD7rH2eCWztrqR,,,https://www.instagram.com/bedminsterfarmersmarket/?hl=en,3055 River Road,Bedminster,Somerset,New Jersey,07921,06/01/2019 to 10/26/2019,Sat: 9:00 AM-1:00 PM;,,,,,,,-74.646889,40.662856,,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,Y,2/23/2019 2:46:23 PM
1019203,54.0 AG Farmers' Market,http://AGFarmersMarket.com,http://www.facebook.com/AGFarmersMarket,http://twitter.com/AGFarmMarket,,http://www.instagram.com/agfarmersmarket,108 Indian Head Road,Toms River,Ocean,New Jersey,08753,08/02/2018 to 08/02/2018,Thu: 9:00 AM-5:00 PM;,,,,,,,-74.207478,39.992509,,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,8/1/2018 9:40:50 AM
1019504,56.6 The Market at Long Valley,http://themarketlvnj.wixsite.com/themarket-longvalley,https://www.facebook.com/TheMarketatLongValley/,,,,66 East Mill Road,Long Valley,Morris,New Jersey,07853,06/06/2019 to 10/17/2019,Thu: 3:00 PM-7:00 PM;,,,,,,,-74.770016,40.784492,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,5/3/2019 9:56:38 AM
1012037,60.5 SCOTCH PLAINS FARMERS' MARKETPLACE,http://SCOTCHPLAINSFARMERSMARKET.COM,https://www.facebook.com/ScotchPlainsFarmersMarket/,,,,"430 Park Ave (Municipal Parking Lot), Scotch Plains, New Jersey 07076",Scotch Plains,Union,New Jersey,07076,05/19/2018 to 11/17/2018,Sat: 8:00 AM-2:00 PM;,,,,,,,-74.397557,40.650167,,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,7/26/2018 3:59:05 PM
1006250,"63.0 Ocean City, NJ Farmers & Crafters Market",http://www.oceancityvacation.com,https://www.facebook.com/OceanCityNJVacation,,,,6th Street & Asbury Avenue,Ocean City,Cape May,New Jersey,08226,06/24/2020 to 09/30/2020,Wed: 8:00 AM-1:00 PM;,,,,,,,-74.572082,39.282143,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,8/5/2020 11:33:22 AM
1011930,63.2 Capital City Farmers Market,http://www.downtowndoverpartnership.com/,https://www.facebook.com/capitalcityfarmersmarket/,,,,126 West Loockerman Street (Loockerman Way Plaza),Dover,Kent,Delaware,19904,06/15/2016 to 09/14/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-75.5262294,39.1576541,,Y,Y,N,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,8/3/2020 1:04:12 PM
1019751,64.1 The Farmers’ Market at Rutherfurd Hall,http://AgresticAcres.com,@FarmMarketRutherfurdHall,,,,1686 county road 517,Allamuchy,Warren,New Jersey,07820,06/14/2020 to 10/25/2020,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.813622,40.914599,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,2/9/2020 11:24:02 AM
1012166,65.2 Morris County Winter Farmers' Market,http://MorrisWinterFarmersMarket.com,https://www.facebook.com/MorrisCountyWinterFarmersMarket/,https://twitter.com/FoodshedNJ,,,26 Mills Street,Morristown,Morris,New Jersey,07960,12/01/2018 to 04/14/2019,Sun: 10:00 AM-1:00 PM;,,,,,,,-74.489945,40.801309,,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,7/27/2018 7:55:07 AM
1005201,65.4 Madison NJ Farmers Market,http://www.rosenet.org/gov/ddc,https://www.facebook.com/ilovemadisonnj,,,,Central Avenue between Cook Avenue and Main Street,Madison,Morris,New Jersey,07940,05/31/2018 to 10/25/2018,Thu: 2:00 PM-7:00 PM;,,,,,,,-74.414532,40.759057,,Y,Y,Y,N,N,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,7/26/2018 4:27:38 PM
1012163,66.5 Blairstown Farmers' Market,http://BlairstownFarmersMarket.com,https://www.facebook.com/blairstownfarmersmarket/,https://twitter.com/FoodshedNJ,,,5 Stillwater Road,Blairstown,Warren,New Jersey,07825,06/02/2018 to 10/27/2018,Sat: 10:00 AM-1:00 PM;,,,,,,,-74.955689,40.982893,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,7/27/2018 7:56:03 AM
1010607,69.3 Bel Air Farmers' Market,http://www.BelAirFarmersMarket.com,BelAir Farmers Market,@belairfm,,Instagram  @belairfm,2 South Bond Street,Bel Air,Harford,Maryland,21014,04/14/2018 to 11/17/2018,Sat: 7:00 AM-11:00 AM;,11/24/2018 to 12/22/2018,Sat: 10:00 AM-12:00 PM;,,,,,-76.351011,39.535284,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,7/27/2018 1:27:22 PM
1000709,69.6 26th Annual Highlands Business Partnership's Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,visithighlandsnj - Instagram,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,06/06/2020,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358,40.404837,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,9/10/2020 3:25:18 PM
1019424,72.8 West Orange Farmers Market,http://WOFarmersMarket.com,https://www.facebook.com/WestOrangeFM,,,,80 Main Street,West Orange,Essex,New Jersey,07052,05/18/2019 to 11/02/2019,Sat: 9:00 AM-2:00 PM;,,,,,,,-74.238131,40.780392,,Y,Y,Y,N,N,-,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,3/11/2019 12:02:58 PM
1019510,73.0 East Orange Farmer's Market,,,,,,44 City Hall Plaza,East Orange,Essex,New Jersey,07018,07/02/2019 to 10/29/2019,Tue: 12:00 PM-7:00 PM;,,,,,,,-74.209979,40.761250,,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,5/6/2019 10:02:46 PM
1019375,76.2 Harvest Home Coney Island Hospital Market,,,,,,Ocean Pkwy btwn Shore Pkwy & Avenue Z,New York,Kings,New York,,06/05/2019 to 11/20/2019,Wed: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;,,,,,,,-73.966129,40.585510,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 9:48:14 AM
1021208,77.9 Historic Downtown Jersey City Farmers Market,https://jcdowntown.org/events/farmers-market,https://www.facebook.com/downtownjcfarmersmarket/,https://twitter.com/DowntownHDSID,https://www.youtube.com/user/JCHDSID,Instagram: https://www.instagram.com/hdsid_jc/?hl=en,Grove PATH Plaza,Jersey City,Hudson,New Jersey,,05/11/2020 to 12/21/2020,Mon: 4:00 PM-8:00 PM;Thu: 4:00 PM-8:00 PM;,,,,,,,-74.042428,40.719659,,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N,9/11/2020 5:17:22 PM
1019127,78.1 Nutley Farmers Market,http://www.nutleynj.org/farmersmarket,www.facebook.com/nutleyfarmersmarket1,www.twitter.com/nutleyfm,,www.instagram.com/nutleyfarmersmarket,537 Franklin Avenue,Nutley,Essex,New Jersey,07110,06/17/2018 to 10/28/2018,Sun: 9:00 AM-2:00 PM;,,,,,,,-74.154584,40.824341,,Y,Y,Y,Y,Y,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,6/10/2018 1:01:07 PM
1020015,78.3 The Township of Little Falls Farmers Market,,Facebook.com/LittleFallsFarmersMarket,,,Instagram.com/LittleFallsFarmersMarket,225 Main St,Little Falls,Passaic,New Jersey,07424,05/31/2020 to 10/18/2020,Sun: 9:00 AM-2:00 PM;,,,,,,,-74.210350,40.872239,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,8/3/2020 12:43:03 PM
1009895,78.5 Down to Earth Park Slope Farmers Market,http://www.downtoearthmarkets.com,https://www.facebook.com/parkslopefarmersmarket/,https://twitter.com/DowntoEarthMkts,,https://www.instagram.com/downtoearthmkts,289 4th Street,Brooklyn,Kings,New York,11215,01/01/2018 to 12/31/2018,Sun: 10:00 AM-4:00 PM;,01/01/2019 to 12/01/2019,Sun: 10:00 AM-5:00 PM;,,,,,-73.983925,40.672277,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,10/1/2018 10:00:19 AM
1019635,78.8 Riverwalk Farmers Market,http://downtownmilford.org/farmersmarket,Facebook@riverwalkfarmersmarket,,,,5 S. Walnut Street ,Milford,Sussex,Delaware,19963,05/04/2019 to 10/05/2019,Sun: 9:00 AM-1:00 PM;,11/23/2019 to ,Sat: 10:00 AM-2:00 PM;,,,,,-75.428080,38.913062,,Y,Y,N,Y,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,7/22/2019 10:20:48 AM
1019927,78.9 Riverview Farmers Market,http://www.riverviewfarmersmarket.org/,https://www.facebook.com/farmsintheheights/,https://twitter.com/JCHeightsMarket,,https://www.instagram.com/riverviewfarmersmarket/,320 Ogden Avenue,Jersey City,Hudson,New Jersey,07307,05/31/2020 to 11/22/2020,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.042798,40.744736,,Y,Y,Y,Y,Y,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/21/2020 5:25:58 PM
1019949,79.0 Fulton Stall Market - Indoor Farmers Market,http://fultonstallmarket.org,fultonmarketnyc,fultonmarketnyc,,instagram fultonstallmarket,91 South St.,New York ,New York,New York,10038,,Mon: 11:30 AM-4:00 PM;Tue: 11:30 AM-4:00 PM;Wed: 11:30 AM-4:00 PM;Thu: 11:30 AM-4:00 PM;Fri: 11:30 AM-4:00 PM;Sat: 11:30 AM-4:00 PM;,,,,,,,-74.003474,40.706222,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,7/6/2020 3:11:54 PM
1019376,79.8 Harvest Home Kings County Hospital Market,,,,,,Clarkson Avenue btwn E. 37th & E. 39th Street,New York,Kings,New York,,06/05/2019 to 11/20/2019,Wed: 8:00 AM-4:00 PM;,,,,,,,-73.942520,40.655889,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 9:59:55 AM
1019374,79.9 Harvest Home Clinton Hill Market,,,,,,Lafayette btwn Waverly & Washington,Brooklyn,New York,New York,,06/04/2019 to 11/19/2019,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.966310,40.688145,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 9:49:55 AM
1019373,80.3 Harvest Home Brower Park Market,http://harvesthomefm.org,,,,,Brooklyn Avenue & Prospect Place,New York,Kings,New York,,06/06/2019 to 11/14/2019,Thu: 8:00 AM-4:00 PM;,,,,,,,-73.944530,40.674043,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 9:49:19 AM
1011497,81.6 The Markets at Shrewsbury,http://www.marketsatshrewsbury.com,The Markets at Shrewsbury,The Markets at Shrewsbury,,,12025 Susquehanna Trail S,Glen Rock,York,Pennsylvania,17327,01/01/2019 to 01/01/2019,Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-7:00 PM;Sat: 8:00 AM-4:00 PM;,01/01/2019 to 02/28/2019,Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,-76.730703,39.793503,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,12/28/2018 4:00:06 PM
1019340,81.9 Isabahlia farmers Market,http://Isabahlialoefinc.org,Isabahlia ladies of Elegance Foundation Inc,Isabahlialoef,,,410 Livoinia Ave,"Brooklyn, NY",Kings,New York,11212,06/30/2018 to 10/27/2018,Sat: 8:00 AM-4:00 PM;,11/03/2018 to 12/08/2018,Sat: 8:00 AM-1:00 PM;,,,,,-73.901875,40.663651,,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,12/29/2018 8:21:05 AM
1016803,82.4 Pitkin Verde Farmers Market,http://www.cypresshills.org,www.facebook.com/CHLDC,twitter.com/CHLDC,,,2094 Pitkin Avenue,Brooklyn,Kings,New York,11207,07/17/2018 to 11/20/2018,Tue: 9:00 AM-5:30 PM;,,,,,,,-73.895438,40.671863,,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,7/30/2018 10:19:07 AM
1002339,84.7 Harvest Home Metropolitan Hospital Market,http://harvesthomefm.org,,,,,97-99th Street and 2nd Ave.,Manhattan,New York,New York,,06/07/2019 to 11/15/2019,Fri: 8:00 AM-4:00 PM;,,,,,,,-73.946220,40.785539,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1/30/2019 4:14:34 PM
1010972,84.8 Down to Earth Morningside Park Farmers Market,http://www.downtoearthmarkets.com,https://www.facebook.com/morningsideparkfarmersmarket/,https://twitter.com/DowntoEarthMkts,,https://instagram.com/downtoearthmkts/,110th Street and Manhattan Avenue,Manhattan,New York,New York,10026,01/01/2018 to 12/31/2018,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.959648,40.801370,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,10/1/2018 9:47:46 AM
1019380,84.9 Harvest Home East Harlem Market,,,,,,E. 104th Street & 3rd Avenue,New York,New York,New York,,06/06/2019 to 11/14/2019,Thu: 8:00 AM-4:00 PM;,,,,,,,-73.945625,40.790266,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 10:24:52 AM
1019802,85.2 Hereford Farm Market,,@herefordfarmmarket,,,,17004 York Rd ,Parkton,Baltimore,Maryland,,05/09/2020 to 10/31/2020,Sat: 9:00 AM-12:00 PM;,,,,,,,-76.644722,39.4668834,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,3/19/2020 5:42:28 PM
1019382,85.3 Harvest Home Lenox Avenue Market,,,,,,Lenox Avenue btwn W. 117th & W. 118th Street,New York,New York,New York,,06/08/2019 to 11/16/2019,Sat: 8:00 AM-4:00 PM;,,,,,,,-73.948857,40.803029,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 10:42:23 AM
1019383,85.6 Harvest Home 125th Street Market,,,,,,W. 125th Street & Adam Clayton Powell Blvd,New York,New York,New York,,06/04/2019 to 11/19/2019,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.947702,40.808707,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 10:44:29 AM
1002345,85.9 Harvest Home West Harlem Market,,,,,,Broadway btwn W. 138th & W. 139th St,New York,New York,New York,,06/04/2019 to 11/19/2019,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.953193,40.822369,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,1/30/2019 12:51:26 PM
1019381,86.1 Harvest Home Harlem Hospital Market,,,,,,Lenox Avenue btwn W. 136th & W. 138th Street,New York,New York,New York,,01/01/2019 to 12/31/2019,Fri: 8:00 AM-4:00 PM;,,,,,,,-73.940100,40.814968,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2/5/2019 10:38:46 AM
